"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"368","warborn.model","src/warborn/model/Card.java","3","8","Private field 'name' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"369","warborn.model","src/warborn/model/Card.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"370","warborn.model","src/warborn/model/Card.java","3","9","Private field 'index' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"371","warborn.model","src/warborn/model/Card.java","3","11","Parameter 'image' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"372","warborn.model","src/warborn/model/Card.java","3","11","Parameter 'index' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"373","warborn.model","src/warborn/model/Card.java","3","11","Parameter 'troop' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"374","warborn.model","src/warborn/model/CardDeck.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"375","warborn.model","src/warborn/model/CardDeck.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"376","warborn.model","src/warborn/model/CardDeck.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"377","warborn.model","src/warborn/model/CardDeck.java","3","6","Private field 'artilleryImage' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"378","warborn.model","src/warborn/model/CardDeck.java","3","6","Private field 'cavaleryImage' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"379","warborn.model","src/warborn/model/CardDeck.java","3","6","Private field 'infantryImage' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"380","warborn.model","src/warborn/model/CardDeck.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"381","warborn.model","src/warborn/model/CardDeck.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"382","warborn.model","src/warborn/model/CardDeck.java","3","7","This final field could be made static","Design Rules","FinalFieldCouldBeStatic"
"383","warborn.model","src/warborn/model/CardDeck.java","3","7","This final field could be made static","Design Rules","FinalFieldCouldBeStatic"
"384","warborn.model","src/warborn/model/CardDeck.java","3","7","This final field could be made static","Design Rules","FinalFieldCouldBeStatic"
"385","warborn.model","src/warborn/model/CardDeck.java","3","21","Avoid variables with short names like d","Naming Rules","ShortVariable"
"386","warborn.model","src/warborn/model/CardDeck.java","3","21","Local variable 'd' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"387","warborn.model","src/warborn/model/CardDeck.java","3","22","Avoid variables with short names like i","Naming Rules","ShortVariable"
"388","warborn.model","src/warborn/model/CardDeck.java","3","22","Local variable 'i' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"389","warborn.model","src/warborn/model/CardDeck.java","3","25","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"390","warborn.model","src/warborn/model/CardDeck.java","3","27","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"391","warborn.model","src/warborn/model/CardDeck.java","3","29","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"392","warborn.model","src/warborn/model/Dice.java","3","3","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"393","warborn.model","src/warborn/model/LabelFactory.java","3","7","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"394","warborn.model","src/warborn/model/LabelFactory.java","3","9","Avoid variables with short names like s","Naming Rules","ShortVariable"
"395","warborn.model","src/warborn/model/LabelFactory.java","3","9","Parameter 's' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"396","warborn.model","src/warborn/model/LabelFactory.java","3","10","Local variable 'label' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"397","warborn.model","src/warborn/model/Move.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"398","warborn.model","src/warborn/model/Move.java","3","5","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"399","warborn.model","src/warborn/model/Move.java","3","7","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"400","warborn.model","src/warborn/model/Move.java","3","7","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"401","warborn.model","src/warborn/model/Move.java","3","11","Parameter 'units' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"402","warborn.model","src/warborn/model/Move.java","3","18","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"403","warborn.model","src/warborn/model/Player.java","3","10","Avoid variables with short names like id","Naming Rules","ShortVariable"
"404","warborn.model","src/warborn/model/Player.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"405","warborn.model","src/warborn/model/Player.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"406","warborn.model","src/warborn/model/Player.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"407","warborn.model","src/warborn/model/Player.java","3","10","Private field 'id' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"408","warborn.model","src/warborn/model/Player.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"409","warborn.model","src/warborn/model/Player.java","3","11","Private field 'name' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"410","warborn.model","src/warborn/model/Player.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"411","warborn.model","src/warborn/model/Player.java","3","12","Private field 'background' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"412","warborn.model","src/warborn/model/Player.java","3","12","Private field 'race' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"413","warborn.model","src/warborn/model/Player.java","3","15","It is somewhat confusing to have a field name with the same name as a method","Naming Rules","AvoidFieldNameMatchingMethodName"
"414","warborn.model","src/warborn/model/Player.java","3","16","Private field 'spellbook' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"415","warborn.model","src/warborn/model/Player.java","3","18","Avoid variables with short names like id","Naming Rules","ShortVariable"
"416","warborn.model","src/warborn/model/Player.java","3","18","Parameter 'background' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"417","warborn.model","src/warborn/model/Player.java","3","18","Parameter 'color' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"418","warborn.model","src/warborn/model/Player.java","3","18","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"419","warborn.model","src/warborn/model/Player.java","3","18","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"420","warborn.model","src/warborn/model/Player.java","3","18","Parameter 'race' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"421","warborn.model","src/warborn/model/Player.java","3","21","Local variable 'copiedColor' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"422","warborn.model","src/warborn/model/Player.java","2","29","System.out.print is used","Java Logging Rules","SystemPrintln"
"423","warborn.model","src/warborn/model/Player.java","3","30","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"424","warborn.model","src/warborn/model/Player.java","3","43","Local variable 'copiedColor' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"425","warborn.model","src/warborn/model/Player.java","3","44","Consider simply returning the value vs storing it in local variable 'copiedColor'","Design Rules","UnnecessaryLocalBeforeReturn"
"426","warborn.model","src/warborn/model/Player.java","3","60","Returning 'cards' may expose an internal array.","Security Code Guidelines","MethodReturnsInternalArray"
"427","warborn.model","src/warborn/model/Player.java","3","66","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"428","warborn.model","src/warborn/model/Player.java","3","85","Local variable 'copiedColor' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"429","warborn.model","src/warborn/model/Player.java","3","113","Avoid variables with short names like id","Naming Rules","ShortVariable"
"430","warborn.model","src/warborn/model/Player.java","3","116","System.arraycopy is more efficient","Optimization Rules","AvoidArrayLoops"
"431","warborn.model","src/warborn/model/Player.java","3","119","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"432","warborn.model","src/warborn/model/Player.java","5","127","Found 'DD'-anomaly for variable 'nbrOfCards' (lines '127'-'129').","Controversial Rules","DataflowAnomalyAnalysis"
"433","warborn.model","src/warborn/model/Player.java","3","131","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"434","warborn.model","src/warborn/model/Player.java","3","136","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"435","warborn.model","src/warborn/model/Player.java","3","142","Avoid variables with short names like b","Naming Rules","ShortVariable"
"436","warborn.model","src/warborn/model/Spellbook.java","3","12","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"437","warborn.model","src/warborn/model/Spellbook.java","3","12","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"438","warborn.model","src/warborn/model/Spellbook.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"439","warborn.model","src/warborn/model/Spellbook.java","3","12","Private field 'spells' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"440","warborn.model","src/warborn/model/Spellbook.java","3","18","Parameter 'index' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"441","warborn.model","src/warborn/model/Spellbook.java","3","26","Parameter 'background' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"442","warborn.model","src/warborn/model/Spellbook.java","3","27","Avoid variables with short names like in","Naming Rules","ShortVariable"
"443","warborn.model","src/warborn/model/Spellbook.java","3","27","Local variable 'in' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"444","warborn.model","src/warborn/model/Spellbook.java","3","38","Parameter 'spell' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"445","warborn.model","src/warborn/model/Spellbook.java","3","42","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"446","warborn.model","src/warborn/model/Territory.java","3","7","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"447","warborn.model","src/warborn/model/Territory.java","3","7","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"448","warborn.model","src/warborn/model/Territory.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"449","warborn.model","src/warborn/model/Territory.java","3","7","Private field 'connections' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"450","warborn.model","src/warborn/model/Territory.java","3","9","Avoid variables with short names like id","Naming Rules","ShortVariable"
"451","warborn.model","src/warborn/model/Territory.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"452","warborn.model","src/warborn/model/Territory.java","3","9","Private field 'id' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"453","warborn.model","src/warborn/model/Territory.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"454","warborn.model","src/warborn/model/Territory.java","3","10","Private field 'name' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"455","warborn.model","src/warborn/model/Territory.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"456","warborn.model","src/warborn/model/Territory.java","3","13","Avoid variables with short names like id","Naming Rules","ShortVariable"
"457","warborn.model","src/warborn/model/Territory.java","3","13","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"458","warborn.model","src/warborn/model/Territory.java","3","13","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"459","warborn.model","src/warborn/model/Territory.java","3","16","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"460","warborn.model","src/warborn/model/Territory.java","3","36","Parameter 'newOwner' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"461","warborn.model","src/warborn/model/Territory.java","3","40","Parameter 'protection' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"462","warborn.model","src/warborn/model/Territory.java","3","44","Parameter 'nbrOfUnits' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"463","warborn.model","src/warborn/model/Territory.java","3","66","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"464","warborn.model","src/warborn/model/Territory.java","3","70","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"465","warborn.model","src/warborn/model/Territory.java","3","86","Ensure you override both equals() and hashCode()","Basic Rules","OverrideBothEqualsAndHashcode"
"466","warborn.model","src/warborn/model/Territory.java","3","88","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"467","warborn.model","src/warborn/model/Territory.java","3","90","Local variable 'toCompare' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"468","warborn.model","src/warborn/model/TerritoryFactory.java","3","5","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"469","warborn.model","src/warborn/model/TerritoryFactory.java","3","8","Parameter 'mapName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"470","warborn.model","src/warborn/model/TerritoryFactory.java","3","9","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"471","warborn.model","src/warborn/model/TerritoryFactory.java","3","10","Local variable 'lnr' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"472","warborn.model","src/warborn/model/TerritoryFactory.java","3","12","Local variable 'lines' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"473","warborn.model","src/warborn/model/TerritoryFactory.java","3","14","Avoid variables with short names like in","Naming Rules","ShortVariable"
"474","warborn.model","src/warborn/model/TerritoryFactory.java","3","14","Local variable 'in' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"475","warborn.model","src/warborn/model/TerritoryFactory.java","5","15","Found 'DD'-anomaly for variable 'territories' (lines '15'-'22').","Controversial Rules","DataflowAnomalyAnalysis"
"476","warborn.model","src/warborn/model/TerritoryFactory.java","3","16","Avoid excessively long variable names like connectionsNameList","Naming Rules","LongVariable"
"477","warborn.model","src/warborn/model/TerritoryFactory.java","5","16","Found 'DD'-anomaly for variable 'connectionsNameList' (lines '16'-'31').","Controversial Rules","DataflowAnomalyAnalysis"
"478","warborn.model","src/warborn/model/TerritoryFactory.java","5","19","Found 'DU'-anomaly for variable 'i' (lines '19'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"479","warborn.model","src/warborn/model/TerritoryFactory.java","3","20","Local variable 'territoryNames' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"480","warborn.model","src/warborn/model/TerritoryFactory.java","3","22","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"481","warborn.model","src/warborn/model/TerritoryFactory.java","5","22","Found 'DD'-anomaly for variable 'territories' (lines '22'-'22').","Controversial Rules","DataflowAnomalyAnalysis"
"482","warborn.model","src/warborn/model/TerritoryFactory.java","5","22","Found 'DU'-anomaly for variable 'territories' (lines '22'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"483","warborn.model","src/warborn/model/TerritoryFactory.java","3","24","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"484","warborn.model","src/warborn/model/TerritoryFactory.java","5","24","Found 'DD'-anomaly for variable 'connectionsName' (lines '24'-'27').","Controversial Rules","DataflowAnomalyAnalysis"
"485","warborn.model","src/warborn/model/TerritoryFactory.java","5","25","Found 'DU'-anomaly for variable 'namesToInsert' (lines '25'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"486","warborn.model","src/warborn/model/TerritoryFactory.java","3","28","System.arraycopy is more efficient","Optimization Rules","AvoidArrayLoops"
"487","warborn.model","src/warborn/model/TerritoryFactory.java","5","31","Found 'DD'-anomaly for variable 'connectionsNameList' (lines '31'-'31').","Controversial Rules","DataflowAnomalyAnalysis"
"488","warborn.model","src/warborn/model/TerritoryInteractor.java","3","3","Abstract classes should be named AbstractXXX","Naming Rules","AbstractNaming"
"489","warborn.model","src/warborn/model/TerritoryInteractor.java","3","3","This abstract class does not have any abstract methods","Design Rules","AbstractClassWithoutAbstractMethod"
"490","warborn.model","src/warborn/model/TerritoryInteractor.java","3","4","Avoid variables with short names like t1","Naming Rules","ShortVariable"
"491","warborn.model","src/warborn/model/TerritoryInteractor.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"492","warborn.model","src/warborn/model/TerritoryInteractor.java","3","5","Avoid variables with short names like t2","Naming Rules","ShortVariable"
"493","warborn.model","src/warborn/model/TerritoryInteractor.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"494","warborn.model","src/warborn/model/TerritoryInteractor.java","3","7","Avoid variables with short names like t","Naming Rules","ShortVariable"
"495","warborn.model","src/warborn/model/TerritoryInteractor.java","3","7","Parameter 't' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"496","warborn.model","src/warborn/model/TerritoryInteractor.java","3","16","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"497","warborn.model","src/warborn/model/TerritoryInteractor.java","3","17","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"498","warborn.model","src/warborn/model/Warborn.java","3","15","The class 'Warborn' has a Cyclomatic Complexity of 3 (Highest = 21).","Code Size Rules","CyclomaticComplexity"
"499","warborn.model","src/warborn/model/Warborn.java","3","15","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"500","warborn.model","src/warborn/model/Warborn.java","3","17","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"501","warborn.model","src/warborn/model/Warborn.java","3","17","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"502","warborn.model","src/warborn/model/Warborn.java","3","17","Private field 'players' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"503","warborn.model","src/warborn/model/Warborn.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"504","warborn.model","src/warborn/model/Warborn.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"505","warborn.model","src/warborn/model/Warborn.java","3","19","Private field 'move' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"506","warborn.model","src/warborn/model/Warborn.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"507","warborn.model","src/warborn/model/Warborn.java","3","20","Private field 'battle' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"508","warborn.model","src/warborn/model/Warborn.java","3","21","Avoid excessively long variable names like nbrOfReinforcements","Naming Rules","LongVariable"
"509","warborn.model","src/warborn/model/Warborn.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"510","warborn.model","src/warborn/model/Warborn.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"511","warborn.model","src/warborn/model/Warborn.java","3","23","Private field 'dimension' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"512","warborn.model","src/warborn/model/Warborn.java","3","24","Private field 'deck' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"513","warborn.model","src/warborn/model/Warborn.java","3","26","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"514","warborn.model","src/warborn/model/Warborn.java","3","26","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"515","warborn.model","src/warborn/model/Warborn.java","3","29","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"516","warborn.model","src/warborn/model/Warborn.java","3","31","Local variable 'kit' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"517","warborn.model","src/warborn/model/Warborn.java","1","37","Overridable method 'addPlayer' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"518","warborn.model","src/warborn/model/Warborn.java","1","38","Overridable method 'addPlayer' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"519","warborn.model","src/warborn/model/Warborn.java","3","57","This usage of the Collection.toArray() method will throw a ClassCastException.","Basic Rules","ClassCastExceptionWithToArray"
"520","warborn.model","src/warborn/model/Warborn.java","3","60","Parameter 'index' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"521","warborn.model","src/warborn/model/Warborn.java","3","69","Returning 'territories' may expose an internal array.","Security Code Guidelines","MethodReturnsInternalArray"
"522","warborn.model","src/warborn/model/Warborn.java","3","121","Avoid variables with short names like i","Naming Rules","ShortVariable"
"523","warborn.model","src/warborn/model/Warborn.java","3","121","Parameter 'i' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"524","warborn.model","src/warborn/model/Warborn.java","3","136","Parameter 'background' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"525","warborn.model","src/warborn/model/Warborn.java","3","136","Parameter 'colors' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"526","warborn.model","src/warborn/model/Warborn.java","3","136","Parameter 'names' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"527","warborn.model","src/warborn/model/Warborn.java","3","139","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"528","warborn.model","src/warborn/model/Warborn.java","3","145","Avoid variables with short names like id","Naming Rules","ShortVariable"
"529","warborn.model","src/warborn/model/Warborn.java","3","150","Avoid variables with short names like id","Naming Rules","ShortVariable"
"530","warborn.model","src/warborn/model/Warborn.java","3","150","The method 'setSelectedTerritory' has a Cyclomatic Complexity of 21.","Code Size Rules","CyclomaticComplexity"
"531","warborn.model","src/warborn/model/Warborn.java","2","151","System.out.print is used","Java Logging Rules","SystemPrintln"
"532","warborn.model","src/warborn/model/Warborn.java","3","152","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"533","warborn.model","src/warborn/model/Warborn.java","3","154","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"534","warborn.model","src/warborn/model/Warborn.java","3","168","An empty statement (semicolon) not part of a loop","Basic Rules","EmptyStatementNotInLoop"
"535","warborn.model","src/warborn/model/Warborn.java","3","252","Avoid variables with short names like id","Naming Rules","ShortVariable"
"536","warborn.model","src/warborn/model/Warborn.java","3","263","Local variable 'mapName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"537","warborn.model","src/warborn/model/Warborn.java","2","266","System.out.print is used","Java Logging Rules","SystemPrintln"
"538","warborn.model","src/warborn/model/Warborn.java","5","268","Found 'DU'-anomaly for variable 'rand' (lines '269'-'284').","Controversial Rules","DataflowAnomalyAnalysis"
"539","warborn.model","src/warborn/model/Warborn.java","3","268","Local variable 'rand' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"540","warborn.model","src/warborn/model/Warborn.java","5","270","Found 'DU'-anomaly for variable 'player' (lines '271'-'284').","Controversial Rules","DataflowAnomalyAnalysis"
"541","warborn.model","src/warborn/model/Warborn.java","3","272","Avoid variables with short names like i","Naming Rules","ShortVariable"
"542","warborn.model","src/warborn/model/Warborn.java","3","272","Local variable 'i' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"543","warborn.model","src/warborn/model/Warborn.java","3","287","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"544","warborn.model","src/warborn/model/Warborn.java","3","294","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"545","warborn.model","src/warborn/model/Warborn.java","3","299","The method 'exchangeSouls' has a Cyclomatic Complexity of 10.","Code Size Rules","CyclomaticComplexity"
"546","warborn.model","src/warborn/model/Warborn.java","5","300","Found 'DD'-anomaly for variable 'nbrOfCards' (lines '301'-'303').","Controversial Rules","DataflowAnomalyAnalysis"
"547","warborn.model","src/warborn/model/Warborn.java","5","302","Found 'DD'-anomaly for variable 'nbrOfCards' (lines '303'-'303').","Controversial Rules","DataflowAnomalyAnalysis"
"548","warborn.model","src/warborn/model/Warborn.java","3","304","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"549","warborn.model","src/warborn/model/Warborn.java","3","336","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"550","warborn.model.spells","src/warborn/model/spells/Armageddon.java","3","9","Parameter 'mana' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"551","warborn.model.spells","src/warborn/model/spells/Armageddon.java","3","14","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"552","warborn.model.spells","src/warborn/model/spells/Armageddon.java","3","29","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"553","warborn.model.spells","src/warborn/model/spells/Armageddon.java","3","43","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"554","warborn.model.spells","src/warborn/model/spells/Confusion.java","3","9","Parameter 'mana' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"555","warborn.model.spells","src/warborn/model/spells/Confusion.java","3","14","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"556","warborn.model.spells","src/warborn/model/spells/Confusion.java","3","29","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"557","warborn.model.spells","src/warborn/model/spells/Confusion.java","3","31","Local variable 'temp' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"558","warborn.model.spells","src/warborn/model/spells/FireBall.java","3","7","Parameter 'mana' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"559","warborn.model.spells","src/warborn/model/spells/FireBall.java","3","12","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"560","warborn.model.spells","src/warborn/model/spells/FireBall.java","3","27","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"561","warborn.model.spells","src/warborn/model/spells/HolyLight.java","3","7","Parameter 'mana' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
